,year,month,day,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%),工業用電(百萬度),民生用電(百萬度)
0,2019,1,1,26429,23872,2557.0,10.71,279.87,192.192
1,2019,1,2,30047,28148,1899.0,6.75,323.08,221.864
2,2019,1,3,30343,28452,1891.0,6.65,336.597,231.146
3,2019,1,4,30301,28490,1811.0,6.36,339.02,232.81
4,2019,1,5,27957,26054,1903.0,7.3,315.825,216.882
5,2019,1,6,26950,24617,2333.0,9.48,295.08,202.637
6,2019,1,7,30336,28536,1800.0,6.31,330.91900000000004,227.247
7,2019,1,8,30562,28719,1843.0,6.42,340.713,233.97400000000002
8,2019,1,9,30595,28641,1954.0,6.82,339.42,233.08599999999998
9,2019,1,10,30853,29006,1847.0,6.37,345.741,237.426
10,2019,1,11,30682,28798,1884.0,6.54,345.31199999999995,237.13099999999997
11,2019,1,12,28402,25905,2497.0,9.64,316.377,217.261
12,2019,1,13,27027,24629,2398.0,9.74,295.069,202.62900000000002
13,2019,1,14,30093,28348,1745.0,6.16,330.529,226.979
14,2019,1,15,30731,28887,1844.0,6.38,341.97900000000004,234.843
15,2019,1,16,30498,28649,1849.0,6.45,338.77099999999996,232.64
16,2019,1,17,30328,28395,1933.0,6.81,337.23699999999997,231.58700000000002
17,2019,1,18,29691,27756,1935.0,6.97,333.57800000000003,229.07299999999998
18,2019,1,19,28431,26477,1954.0,7.38,323.444,222.114
19,2019,1,20,27138,24539,2599.0,10.59,293.809,201.764
20,2019,1,21,29654,27739,1915.0,6.9,324.539,222.86599999999999
21,2019,1,22,30061,28140,1921.0,6.83,334.246,229.532
22,2019,1,23,29776,27838,1938.0,6.96,333.76099999999997,229.199
23,2019,1,24,29735,27863,1872.0,6.72,334.577,229.76
24,2019,1,25,29202,27296,1906.0,6.98,332.04699999999997,228.02200000000002
25,2019,1,26,27817,25282,2535.0,10.03,307.745,211.333
26,2019,1,27,26506,24414,2092.0,8.57,291.033,199.857
27,2019,1,28,29363,27557,1806.0,6.55,322.911,221.74900000000002
28,2019,1,29,29690,27858,1832.0,6.58,331.844,227.88299999999998
29,2019,1,30,29570,27760,1810.0,6.52,331.523,227.66299999999998
30,2019,1,31,29071,27181,1890.0,6.95,326.577,224.266
